id,CL_PENT,SUPERFICIE
0,A,5640.0
0,B,1681.6
0,C,53.199999999999996
0,D,6.2
1,A,5647.3
1,B,2215.8
1,C,47.9
1,D,33.8
1,F,11.0
2,A,5681.0
2,B,403.4
2,C,27.3
2,D,16.0
3,A,20305.2
3,B,176.8
3,C,25.9
3,D,103.30000000000001
3,F,3.7
4,A,5451.7
4,B,13.9
5,A,8297.5
6,A,27964.0
7,A,25118.2
7,B,1.0
8,A,25118.2
8,B,13.9
8,C,1.8
9,A,25118.2
9,B,13.9
9,C,1.8
10,A,45423.4
10,B,99.39999999999999
10,C,1.3
11,A,25118.2
12,A,25118.2
12,B,7.7
13,A,25756.9
13,B,21.099999999999998
14,A,11078.0
14,B,1852.5
14,C,12.4
14,D,110.0
14,F,1.8
