Camera,Type sol,Superficie_m2
2,Agricole,8289551.102706385
2,Anthropique,864492.0340440931
2,Forestier,56738539.631919004
2,Humide,144954.5630974595
5,Agricole,58355313.467287235
5,Anthropique,14239.7022244334
5,Aquatique,15281.121482568698
5,Forestier,11320883.628421502
5,Humide,14976.2217159
5,Non classifié,1991.52774635
6,Agricole,6246948.022647595
6,Anthropique,71416.765207716
6,Coupe et régénérat,9122.178865670001
6,Forestier,3477553.7982690074
6,Humide,23112.8998312
8,Agricole,85320165.03654483
8,Anthropique,27376.605786830998
8,Aquatique,1315.91401606
8,Forestier,32515197.95314529
11,Agricole,2603768.7664361577
11,Anthropique,225171.9624540503
11,Aquatique,2761.13392348
11,Forestier,28708494.62320267
11,Humide,76191.95331927
12,Agricole,7225743.857941672
12,Anthropique,27146.4245321269
12,Aquatique,426.580564784
12,Forestier,2502888.8970562
12,Humide,131570.042593
14,Agricole,312959.658317653
14,Anthropique,65932307.015675426
14,Forestier,7057972.519850846
16,Agricole,27008760.594982795
16,Anthropique,91886.20854745011
16,Aquatique,2794.052207
16,Forestier,5793047.02748445
16,Humide,100540.553058515
18A,Agricole,1994806.7679887973
18A,Anthropique,128126894.87484351
18A,Forestier,8940874.68171516
18A,Humide,516253.8876763158
18B,Agricole,3463430.801458643
18B,Anthropique,128129577.77681124
18B,Forestier,9555720.36712603
18B,Humide,494834.92093446
19,Agricole,449579.176089945
19,Anthropique,124317.73795223409
19,Aquatique,1432.032120832
19,Coupe et régénérat,24945.4433259
19,Forestier,29414495.398321223
19,Humide,141284.389501036
20A,Agricole,3547.90639306
20A,Anthropique,128112138.69670019
20A,Aquatique,1845.252575069
20A,Coupe et régénérat,589431.825846383
20A,Forestier,17799360.189258322
20A,Humide,658483.451232992
20B,Anthropique,128108716.48225057
20B,Aquatique,2121.294123796
20B,Coupe et régénérat,581874.3670977841
20B,Forestier,17740199.292398907
20B,Humide,708188.244851835
10,Agricole,7333225.73941
10,Anthropique,13913.3189066635
10,Aquatique,2797.551622429
10,Forestier,28083642.2405512
10,Humide,2844318.8062376003
4,Agricole,8367328.635331696
4,Anthropique,124615.34776492849
4,Aquatique,124545.78190297999
4,Forestier,8606920.14505226
4,Humide,17014.521580104
